ID,FriendlyStacks,EnemyStacks,Friendly1Elo,Friendly2Elo,Friendly3Elo,Friendly4Elo,Friendly5Elo,Enemy1Elo,Enemy2Elo,Enemy3Elo,Enemy4Elo,Enemy5Elo,InfernoDiff,MirageDiff,TrainDiff,DustIIDiff,NukeDiff,AncientDiff,OverpassDiff,AnubisDiff
799.0,32.0,41.0,13159.0,4191.0,,8067.0,,9177.0,,13143.0,8542.0,9238.0,2.0,-5.0,-5.0,0.0,-1.0,-2.0,1.0,
800.0,41.0,11111.0,22549.0,22514.0,18720.0,23889.0,16597.0,20584.0,20814.0,21128.0,20111.0,19842.0,-2.0,4.0,2.0,3.0,-5.0,-4.0,2.0,
801.0,5.0,11111.0,23476.0,18356.0,16249.0,24603.0,22408.0,21884.0,21735.0,21680.0,,21135.0,-4.0,6.0,2.0,0.0,-4.0,0.0,1.0,
802.0,5.0,11111.0,2244.0,7797.0,,5639.0,,4759.0,4628.0,4480.0,,4440.0,3.0,-1.0,2.0,-4.0,3.0,-4.0,-7.0,
803.0,5.0,5.0,5998.0,8149.0,2595.0,,,,4291.0,4434.0,6450.0,8953.0,-1.0,8.0,2.0,-2.0,11.0,-4.0,-13.0,
804.0,2111.0,41.0,16841.0,16493.0,15956.0,16930.0,14891.0,18248.0,13473.0,19393.0,14435.0,15106.0,7.0,4.0,-3.0,1.0,-12.0,6.0,-3.0,
805.0,311.0,41.0,16958.0,18050.0,14869.0,,16324.0,18441.0,19130.0,,16893.0,14876.0,7.0,-1.0,6.0,-4.0,-5.0,-5.0,9.0,
807.0,221.0,32.0,19239.0,15772.0,17293.0,17075.0,17070.0,18481.0,16166.0,,,,1.0,-2.0,5.0,-1.0,6.0,4.0,-8.0,
808.0,2111.0,41.0,15478.0,15219.0,,17439.0,,18177.0,12047.0,12004.0,15859.0,14987.0,-2.0,2.0,-3.0,0.0,-10.0,-3.0,-1.0,
809.0,221.0,221.0,16173.0,22514.0,22138.0,15491.0,17808.0,19999.0,18694.0,19999.0,17709.0,20106.0,5.0,3.0,3.0,-4.0,-4.0,2.0,-5.0,
810.0,11111.0,2111.0,17867.0,18068.0,17982.0,17516.0,17494.0,18605.0,17537.0,17629.0,17674.0,,1.0,0.0,7.0,-3.0,3.0,-2.0,-4.0,
811.0,2111.0,221.0,17564.0,18300.0,17864.0,17842.0,17777.0,18506.0,17129.0,17856.0,18924.0,15679.0,5.0,-4.0,2.0,-2.0,-6.0,6.0,-1.0,
812.0,41.0,2111.0,17492.0,15076.0,12401.0,20711.0,,17418.0,16916.0,15988.0,16711.0,16522.0,2.0,-2.0,-1.0,-7.0,3.0,0.0,0.0,
813.0,11111.0,2111.0,18314.0,18180.0,17851.0,17774.0,,20789.0,15116.0,17888.0,17834.0,17579.0,1.0,-4.0,1.0,2.0,-4.0,4.0,-5.0,
814.0,2111.0,5.0,16512.0,,18225.0,15783.0,,16759.0,10270.0,15045.0,17260.0,16207.0,-4.0,-11.0,1.0,-9.0,4.0,7.0,-2.0,
815.0,311.0,41.0,,18515.0,16161.0,16574.0,,17205.0,14541.0,12106.0,17487.0,19887.0,-3.0,-3.0,0.0,0.0,1.0,-4.0,-2.0,
818.0,311.0,311.0,5000.0,2359.0,,,4249.0,,,,3926.0,3987.0,-4.0,1.0,3.0,2.0,4.0,4.0,1.0,
