"","ID","PlayerID","Date","LocalTime","StandardTime","PickBan","WarmUp","Advantage","Map","StartSide","TKills","TAssists","TDeaths","CTKills","CTAssists","CTDeaths","Damage","ADR","HS","Result","Rank","Queue","Rating","AvgFriendly","AvgEnemy","AverageOverall","Comments","KASTPercentage","GamesToday","LossStreak","WinStreak","LeetifyRating","LeetifyPosition","LeetifyAim","LeetifyUtility","gamesTest","SID","eloDiff","MTime","dayDifference","TotalKills","TotalAssists","TotalDeaths","AvgDelta","KDR"
"29",50,1,2023-10-17,1899-12-31 22:04:00,1899-12-31 22:04:00,"Second","None","Us","Nuke","T",4,3,11,1,4,6,1074,59,40,"Loss",3776,1,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,NA,NA,2,"Prem 50",0,22:04:00,0,5,7,17,NA,0.294117647058824
"30",52,1,2023-10-17,1899-12-31 23:27:00,1899-12-31 23:27:00,"First","AimLabs","Us","Mirage","T",9,4,7,4,2,5,1463,78,7,"Win",3897,1,NA,NA,NA,NA,NA,NA,5,0,2,NA,NA,NA,NA,2,"Prem 52",113,23:27:00,0,13,6,12,NA,1.08333333333333
"31",53,1,2023-10-21,1899-12-31 15:09:00,1899-12-31 15:09:00,"Second","None","Us","Vertigo","CT",2,3,7,6,2,9,1670,69,37,"Win",4010,1,NA,NA,NA,NA,NA,NA,1,0,3,NA,NA,NA,NA,1,"Prem 53",124,15:09:00,4,8,5,16,NA,0.5
"32",54,1,2023-10-21,1899-12-31 18:00:00,1899-12-31 18:00:00,"First","None","Neither","Vertigo","T",18,5,4,4,7,7,2450,122,31,"Win",4134,1,NA,NA,NA,NA,NA,NA,2,0,4,NA,NA,NA,NA,2,"Prem 54",113,18:00:00,0,22,12,11,NA,2
"33",55,1,2023-10-21,1899-12-31 18:51:00,1899-12-31 18:51:00,"First","AimLabs","Them","Inferno","T",12,3,7,7,0,6,2007,91,42,"Win",4247,1,NA,NA,NA,NA,NA,NA,3,0,5,NA,NA,NA,NA,2,"Prem 55",105,18:51:00,0,19,3,13,NA,1.46153846153846
"34",56,1,2023-10-21,1899-12-31 19:36:00,1899-12-31 19:36:00,"Second","None","Us","Ancient","CT",9,1,5,5,2,11,1560,79,7,"Loss",4352,1,NA,NA,NA,NA,NA,NA,4,1,0,NA,NA,NA,NA,2,"Prem 56",-307,19:36:00,0,14,3,16,NA,0.875
"35",58,1,2023-10-22,1899-12-31 16:09:00,1899-12-31 16:09:00,"Second","None","Us","Inferno","CT",1,2,3,9,1,10,1016,67,30,"Loss",4145,1,NA,NA,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,2,"Prem 58",-117,16:09:00,0,10,3,13,NA,0.769230769230769
"36",60,1,2023-10-22,1899-12-31 19:11:00,1899-12-31 19:11:00,"First","AimLabs","Neither","Inferno","CT",8,3,10,10,2,11,1601,60,22,"Win",3868,1,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,2,"Prem 60",116,19:11:00,0,18,5,21,NA,0.857142857142857
"37",61,1,2023-10-22,1899-12-31 20:37:00,1899-12-31 20:37:00,"First","AimLabs","Them","Mirage","T",4,2,10,10,2,5,1752,97,21,"Loss",3984,1,NA,NA,NA,NA,NA,NA,5,1,0,NA,NA,NA,NA,2,"Prem 61",0,20:37:00,0,14,4,15,NA,0.933333333333333
"38",65,1,2023-10-23,1899-12-31 10:30:00,1899-12-31 10:30:00,"Second","None","Them","Overpass","CT",4,3,10,7,4,12,1504,62,27,"Loss",4086,1,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,1,"Prem 65",-475,10:30:00,1,11,7,22,NA,0.5
